Mean time, std deviation, reps, size
0.00132456,0.00110195,10,24576
0.00540658,0.000342765,100,24576
0.0487372,0.00039269,1000,24576
0.492432,0.00255035,10000,24576
4.8709,0.0223617,100000,24576
