0.00169085,10,24576,16
0.00162426,10,24576,16
0.00167541,10,24576,16
0.0136616,10,24576,16
0.0130654,10,24576,16
0.0162011,10,24576,16
0.00454362,10,24576,16
0.00726022,10,24576,16
0.00171015,10,24576,16
0.0115132,10,24576,16
0.00411122,100,24576,16
0.0163202,100,24576,16
0.0127945,100,24576,16
0.00551905,100,24576,16
0.0116864,100,24576,16
0.00995916,100,24576,16
0.0044307,100,24576,16
0.00405225,100,24576,16
0.00424805,100,24576,16
0.00901438,100,24576,16
0.0321717,1000,24576,16
0.0334464,1000,24576,16
0.028449,1000,24576,16
0.0294734,1000,24576,16
0.0261087,1000,24576,16
0.0270768,1000,24576,16
0.0263801,1000,24576,16
0.0476341,1000,24576,16
0.0285438,1000,24576,16
0.0359546,1000,24576,16
0.243346,10000,24576,16
0.248235,10000,24576,16
0.248882,10000,24576,16
0.248353,10000,24576,16
0.244344,10000,24576,16
0.246236,10000,24576,16
0.246049,10000,24576,16
0.245127,10000,24576,16
0.254124,10000,24576,16
0.261154,10000,24576,16
2.4303,100000,24576,16
2.3819,100000,24576,16
2.45016,100000,24576,16
2.4011,100000,24576,16
2.44991,100000,24576,16
2.42893,100000,24576,16
2.48211,100000,24576,16
2.47363,100000,24576,16
2.46657,100000,24576,16
2.46126,100000,24576,16
